City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
86,Araouane,ML,18.9048,-3.5265,108.28,11,4,6.42,6/22/2022 14:41
266,Arlit,NE,18.7369,7.3853,107.96,10,7,7.09,6/22/2022 14:42
431,Goundam,ML,16.4145,-3.6708,106.93,14,22,8.48,6/22/2022 14:44
487,Sabha,LY,27.0377,14.4283,103.86,9,0,10.31,6/22/2022 14:44
608,Aswan,EG,24.0934,32.907,103.3,10,0,16.11,6/22/2022 14:46
270,Najran,SA,17.4924,44.1277,102.85,6,39,17.18,6/22/2022 14:42
84,Tandalti,SD,13.0167,31.8667,102.33,18,1,5.32,6/22/2022 14:41
349,Kant,IN,27.8,79.8,100.76,25,57,6.58,6/22/2022 14:43
572,Chandla,IN,25.0833,80.2,100.49,29,94,5.21,6/22/2022 14:45
531,Sokolo,ML,14.7328,-6.1219,99.84,26,54,8.5,6/22/2022 14:45
350,Constantine,DZ,36.365,6.6147,99.81,18,0,9.22,6/22/2022 14:41
591,Ibra,OM,22.6906,58.5334,99.61,23,37,9.19,6/22/2022 14:45
672,Adrar,MR,20.5022,-10.0711,99.52,23,3,11.23,6/22/2022 14:46
39,Atar,MR,20.5169,-13.0499,98.4,29,7,7.43,6/22/2022 14:40
369,Shetpe,KZ,44.1667,52.1167,97.65,11,81,15.93,6/22/2022 14:43
330,Minab,IR,27.1467,57.0801,97.12,49,0,9.22,6/22/2022 14:43
610,Jalu,LY,29.0331,21.5482,96.69,15,0,10.92,6/22/2022 14:46
242,Kita,ML,13.0349,-9.4895,96.55,31,58,5.19,6/22/2022 14:42
365,Awjilah,LY,29.1081,21.2869,96.53,15,0,11.21,6/22/2022 14:43
319,Sawakin,SD,19.1059,37.3321,95.47,50,23,12.46,6/22/2022 14:43
71,Nioro,GM,13.35,-15.75,95.16,40,80,6.42,6/22/2022 14:41
569,Doka,SD,13.5167,35.7667,93.67,33,36,6.87,6/22/2022 14:45
505,Dinguiraye,GN,11.3,-10.7167,93.6,32,35,6.73,6/22/2022 14:45
533,Niamey,NE,13.5137,2.1098,93.49,33,0,10.36,6/22/2022 14:41
166,Asyut,EG,27.181,31.1837,93.38,16,0,19.13,6/22/2022 14:41
171,Bosaso,SO,11.2842,49.1816,92.95,47,93,4.83,6/22/2022 14:41
485,Koutiala,ML,12.3917,-5.4642,92.82,39,27,4.52,6/22/2022 14:44
477,Sakakah,SA,29.9697,40.2064,92.77,16,0,17.63,6/22/2022 14:44
347,Kuryk,KZ,43.2,51.65,92.75,22,30,6.2,6/22/2022 14:43
476,Sur,OM,22.5667,59.5289,92.28,59,1,14.61,6/22/2022 14:44
368,Cairo,EG,30.0626,31.2497,92.16,31,20,12.66,6/22/2022 14:42
576,Kaka,TM,37.3482,59.6143,91.81,13,0,18.19,6/22/2022 14:45
44,Semey,KZ,50.4111,80.2275,91.62,24,0,11.18,6/22/2022 14:40
665,Oussouye,SN,12.485,-16.5469,91.58,44,100,6.2,6/22/2022 14:46
632,Ismailia,EG,30.6043,32.2723,91.47,38,0,11.5,6/22/2022 14:46
486,Hami,CN,42.8,93.45,91.2,11,54,5.03,6/22/2022 14:44
713,Coolidge,US,32.9778,-111.5176,90.68,39,0,8.05,6/22/2022 14:47
265,Avera,US,33.194,-82.5271,90.37,26,60,4.81,6/22/2022 14:42
304,Las Vegas,US,36.175,-115.1372,90.28,22,0,10.36,6/22/2022 14:42
598,Palestrina,IT,41.8355,12.889,90.18,38,97,5.01,6/22/2022 14:45
675,Corinto,GR,37.9407,22.9573,89.89,59,0,1.01,6/22/2022 14:46
594,Zhezkazgan,KZ,47.8043,67.7144,89.58,18,0,11.18,6/22/2022 14:41
502,Nouakchott,MR,18.0858,-15.9785,89.53,70,53,15.17,6/22/2022 14:40
274,Beboto,TD,8.2668,16.939,89.22,53,48,2.01,6/22/2022 14:42
579,Methoni,GR,36.8197,21.7049,89.22,69,0,14.36,6/22/2022 14:45
362,San Lawrenz,MT,36.0553,14.204,89.01,72,0,5.7,6/22/2022 14:43
